context,response
xmms,can i find somewhere a counter strike for linux to play on
yes i was giving him hints on what to google for options,in case of a data cd eac is pretty pointless anyway p
can someone help me out in installing flash on amd 64 gutsy,install ubunturestritedextras
from a perfomrance and feature standpoint,in future versions of ubuntu libreoffice is going to be supported instead of openoffice
or would it still wipe the windows install,depends on what you tell the installer to do both options are aviable during install
httpwwwubuntuguideorgazureus,no but it's very easy to set up
paste danm danm see the private message from ubotu,sorry about that
does ubuntu ever freeze up on anyone,it did yesterday for me
how do i boot into runlevel 1 on virtualbox,i need to reset password
surlent 77 i do ctrl alt del whil waking up a hibenated system and i loose the imagenormal reboot,when would i press that
if it's a system conf file you need to use sudo,the pm from uboto has a link to all the info
dont think ubuntu server is so common in vps,httpwwwvpsvillecaubuntuvps httpubuntuforumsorgshowthreadphpt399518
ubunturestrictedextras,how do install that
can anyone suggest me a seo tools for ubuntu,ubuntuserver
server being natty,you run compiz on a server
how do i change my locale,language i guess
i upgraded to hardy on my server and now all email is ham reather than mostly spam,my mail is steak rather than ham
sheesh is it dead in here today or what,everyone is aptget the rc
can anyone tell me why in bluefish the tabs aren't draggable but this says they are httpswikiubuntucomtabconsistency,hmm i can't drag my tabs either let's check that link perhaps it's for a newer version
ok i have to restart rihgt,no you don't have to restart
is it true that i could configure my own hotkeys ctrl alt letter if it's so how,systempreferenceskeyboard shortcuts
like to register join channel etc,yes it can
wow 1708 users,yes use torrents
well windows has certainly never qualfied for the award 'plays well with others',just remember your router is just doing it's darndest to protect you it just gets a little overzealous at times
if you want to upgrade the release of ubuntu the command line is sudo aptget distupgrade,there is a tool doreleaseupgrade that upgrades from one version to the next
wifi aatw,i've gone over those the solution isn't there
now how long would microsoft would of taken to fix something like that bravo ubuntu for such a quick fix,is there a dvd writer app i think xcdroast only works with cdrw
swap partition,probably a dump of a crashed progrma or something
hrm,also helpubuntucom and your help system the little lifepreserver icon has a great ubuntu 510 starter guide
is it possible to install ubuntu from another distro,thanks jacksparrow
i' ve a problem,we all have problems try asking as specifically as you can
is there a way to make glxgears display the fps its running,yes
q what command can i use to check file ermissionsparmissions,try ls all
what options are you trying to mount it with,try without the o
if you have the package installed you can use dpkg s pathtofile,worked thanks
do we have to lol,i normally run an update before it
run the command it tells you to e2fsck b 8153 devsda,ive done that get the same error
where phpmyadmin installed,dpkg l phpmyadmin
by default any modern linux distributions will have ip forwarding disabledhow can i enable on ubuntu1 mil question,by default any modern linux distributions will have ip forwarding disabledhow can i enable on ubuntu1 mil question
stupid ubuntu,i think you can change it somewhere 1 sec
update manager this morning reported 'package lists are being loaded' what are the filenames of these lists,hmm maybe the files in varlibaptlists
disable xgl then,i was looking for a different work around i'll check on the ubuntuxgl channel
anyone know of a good gtk music player besides the typical slew like rhythmbox banshee etc,amarok
hi will 1204 be availble from the update manger or do i have to download a cd,i would wait a day or so before upgrading
outcold i uninstalled and reinstalled firefox still have the problem,did you remove the settings dir
trit thanks,there are a few different kinds of tv viewers
deuceswildcatch2 i believe it lists out the uuid for all your partitions and drives,thank you what is the significanse of 'swap' or ext4'
does anyone know,why would you have to ssh via usb
whoami,thanks
hey,can somone help me
helphelp i just upgraded to intrepifx drive works like a drea but my sound is totally gone,i'm guessing ubottu is a bot which can be given commands using sfsdfsdf
wylde wait wait wait are you on a laptop,wylde this is important is your computer you're trying to configure a laptop
full screen or quick switch,i dont like any of those options
i heard gnome was better than kde,is that true
ubotu's on xmas holiday he's actually helping santa right now,everybody is it's pretty recent
'precise',never mind me i'm off to rest
greetings is there a way i can disable disk readwrite caching on a particular volume,isn't that something you do from bios
keeps saying im not the owner,sudo gedit bootgrubmenulst
how do i enable root acount,how do i enable root acount
what the hell is going on,net services going up and down
the adobe one,thanks
goo do i type that in the options,try here httpubuntuforumsorgshowthreadphpt1597107
not to view it,true
you need to set one change to root user by sudo su,and then use the passwd command
sudo fdisk l,that is hard drives i am looking for my cdrom drives well dvd rom and dvdrw
that's what i mean,you saw that one coming
i need something to convert a mov to an avi what can i use for this,there are probably some good programs but you could use zamzar it's pretty good httpwwwzamzarcom
hi i am looking for a prog to automaticly lauchn programs each day at the same time,cron
check out splunk,need more than 500mb a day in traffic analyzed
bunch,do you have a question
so anyone looking forward to vista,you mean xp2
anyone here who knows about networking stuff,networking stuff
what does you nick mean,why is my network spinlocking
i am having a problem with sudo i have searched all over and it looks like i cannot fix it,describe your problem
how do i dual boot ubuntu and windows with ubuntu already installed,how do i dual boot ubuntu and windows with ubuntu already installed
is something going on all of my miniiso installs are failing on the linuxgeneric package,they were working before but it's been a few weeks since i needed to install ubuntu
it's not enough gpg too plz,gpg isn't a hash function gpg uses hash functions
hi just crossed over from windows i am a linux newbie,how can i browse files in my windows partition from linux
is there a way of reversing this,you mean you can not run those programs
varcaheaptarchives if you remove the dir archives that will cause issues,does it break anything i'm doing it since potato came out
hi how can i see my process,thanks alot
need some help,prv me pls
how do i install the kdedesktop onto ubuntu,sudo aptget install kubuntudesktop
there are so many pple here but none can help me on my pptp setup,it seems so have you been to the wiki
who's doing net on linux raise your hand,lolz
where i can get help in ubuntu,where i can get help in ubuntu softwares
do you want flashplayer for your firefox,you can install vlc and view flash videos
hi all,exit
how do i check the size of a partition in gb with command line,df h
hello,just ask the question
so no one's got any ideas on that error,can someone at least tell me where jmarchiveubuntucom is p
install xorg gnome or kde and vncserver,install it and do a quick readup on it
yes,using what drivers 8600gt btw
why are you building wine,right why are you compiling it
for example pidgin or deluge,enable backports
what is a great intrusion detection system,snort
try gnome art and gnome look tons of thems there,it doesn't
you could get linux,linux certigied
or generally is this possible,vnc
i changed the look by following that article,i wanna make a shortcut to utorrentexe what will the command be like 'homepederwinedrivecprogramfilerutorrentutorrentexe wine'
new packages and gnome 210,any way to find info on plans for a particular package
thanks,welcs
oh the update application,you don't like fbsd
is changing which grub uses as default very hard,no
thanks,ask in windows
yeswith ubuntu 1004,i've just installed ubuntu 1010 and i forget where i found it before
hey folks dont laugh but is there a service management gui in hoary,no
windows 7 is taking forever to install,please keep this channel ontopic thanks
my wubi install logs out all by itself some timeswhat could be the problem,you should look at the logs to see the exact problem
it completes without error but the process continues,try killall gnomepanel and killall nautilus
you mean irc,no
cat etcpasswd etcgroups,thanks
my edgy boot is only 26 mb and that's been around since 2006,err 26mb used
i recompiled and messed up my boxi need to use the live cd to fix it,i think it's either blank or randmoly chosen google it
what does kdesu do,what is the difference between gksudo and kdesu
use google and search the ubuntu archive,using the siteurl feature with your keywords
should get you in,no gksudo
dd will partimage won't,thanks
it's not that difficult download the deb and double click it,sort of
newer hardware is generally not very well supported by linux,that depends and varies
reverseblade no,anyone know if lexmark has linux printer drivers
sorry until recently i was using fedora,np just wanted to inform so you knew
does ubuntu use the original openssh package,there is no such thing the original openssh is now only on openbsd
man ln,thnx
that joke isn't funny anymore,why cuz he died
dohpaz tsukasa systempreferencesfile managmentbehavior,dohpaz tsukasa there's a flag 'always open in browser' right there you can do without running gnome's regedit app p
do i have 804 or earlier version 262419generic,i have 262419generic is it 804
booting with the grub option apci off kills my volume roller,u mean acpi
hello,hi i have a programing problem
yeah seen that only after posting,all good
not hard at all,if you are willing to persevere and learn neww stuff and break things along the way not hard
that i can't paste into the unity altf2,yes you can paste with click on mousewheen
how,you picked the wrong channel to join for idle chit chatyou are in a technical support channel
you need to install that package with a different command one sec,you might want usrsharedoclibdvdread4installcsssh
how to transfer files 250 gb from my pc and my new laptop,how to transfer files 250 gb from my pc to my new laptop
i am new to ubuntu xsane error could not open scanner icm profile anyone can help me,httpubuntuforumsorgshowthreadphpt716322
hrshovinstuff im not using gnomepanel but im using gnome,have you tried screenlets there is a trash screenlet that i use
maybe,aptget update didn't find anything
but now how do i format a ntfs drive to a linux drive in linux,you mean convert or delete and remake
sorry my english is so poor,do you have a question
where can i find apache logs,thank you
solid,best
try nmap,also there's a frontend zenmap very good
hi is anyone else having problems with the update servers,as in unable to connect
sounds liek a video problem,on some mobos its a jumper
superkaramba,ty
it's not that difficult to set up though,no not at all the setup is the same for me anyhow
etcinitdgdm stop,not really are you using 1110 cause it doesn't even use gdm
can ubuntu be uninstalled from within,sure rm rf
thanks but they'll be accessing my laptop physically,ok
hi how do i remove older kernel versions from my boot,should i just type rm version
so what is the name of the program or method for vista xp ubuntu,dual booting
sudo aptget libgtk20dev,thank you very much i appreciate the help
thepyromaniacofc,how
812gig for root 12gigs for swap the rest for home,then you might want to use lvm to you can redo sizes on the fly
swap isn't going to solve slow performance,ahh
bluewolf i try my scanner hp 2500 is ok i have vision 1204,vision
kde needs a lot of work for integration with sudo,kde need lots of work period
so everyone here who is using nvidia drivers had no problem with the installation,which nvidia card are you using
fuser vki varlibdpkglocksudo dpkg configure a doesnt seem to solve the problem,actionparship the mountpoit is named windows and fstab is configured for that
anyone here after upgrading to gutsy my system cannot boot already,what happens when you try to boot
please dont do that,disable that
i need help i was trying to compile a program and i got the following error no package 'gtk20' found,compiling usually needs the dev packages of everything u need to compile with
can anyone tell me about my pidgin problem,hello
like an audio of someone breathing lol,don't go to 'those' sites
nothing work in jaunty that sux,intrepid work perfect
it's a shell on top of gnome,gnome applications and libraries and services are all still there
wow that's bold,i wanna hold a quick vote
its in pidgins prefs,i know but i'm trying to apply this to a dock not to my gnome bar slightly different
where does ubuntu store porn by default,varcacheporn
which would i have to install first for a dual boot system with ubuntu and xp,install win xp first and then ubuntu
what can you say about beatrix,very pretty
hii,it doesn't amcsi does it whenever i restart gdm old windows won't load by default
every time i close a terminal my command history apparently gets deleted,check your bash settings and the permissions of homeusernamebashhistory
check the application database,chances are it will be fine though
why,sorry missed the slash in the command
yep,i can't find a lib for dapper and you seem to know a lot
does anyone know a good linux based mmorpg,wrong channel
tatters can't help you much never used kde but you might want to look around in the options,tatters i believe it must exist cos their 132 changelog mentions it
hi which packages are used for the java programming may any one help me,please help anyone help me
cuz i don't really feel like wasting cds,md5 sum
dont take it until its stable,is there a new release of ubuntu about every 6 months
boot,thanks
nope sudo was used but another package manager might be own,sownopen
adobe,macromedia makes flash
i need help abaout my graphic cards,can any one help me
ubuntuthanks,who are you talking to
how to sort that problem,do you have the codecs from medibuntu installed
what would be the best program to burn isos,thank you
trash zzdds,thanks
sudo aptget upgrade,cheers
whose in charge here,just ask your question
which one do you have,conexant drivers are propritory
hai,hay sam where do you live
you can use 'sudo aptitude fullupgrade' to upgrade your packages from the command line,i need to upgrade karmic to lucid
err a library path is differnt from the shell path for binaries,unless i missread what mohanohi was saying he needs his lib path
the install button should be on the right side of the line after you select the package,if you don't see it then report a bug on launchpadnet
is there any cd emulator for linux,i need to mount a mdf image
httpwwwss64combash,yw
hey how do i get on other servers,im not gonna lie im completley new to xchat
which ip address are you using for 'myip' are you behind nat,no my home ip i checked it with common ip checking sites
i believe there is a guide on the wiki about that search it,there is a liveinstall dvd available via torrent
'cannot send to channel',check the topic probably that's not the help chan
anyone have a website with must have ubuntu apps,google is your friend
gui not installed by default,aptget
anyone know how to fix this,try ubuntu1 for edgy discussion
how do you know top doesn't show that,press 1 in top to show each cpu's stats
ask in windows,ubuntu will take about 600 floppies
the algorithms from aptitude were ported to aptget afaik,aptitude was more advanced at some point
ugh that looks like a pretty sure path to utter system breakage,i know it was an accident
any main differences apart from the gonmexfce difference will i be able to run all the apps on xubuntu,yes
why does trying to aptget buildessential not work for me in dapper,did you use sudo
now that you are all over that,p
is there a reason why it doesn't work for bash,is it possible to specify long options in the line of a bash script
it will work but my grub still says warty on boot,uname a
help,i typed in sudo aptget install sunjava5bin in terminal it says password but i type and nothing happens
i've installed gutsy and all the plugins and all my avi files show a black screen and working sound,use mplayer
will 1004 'fix' my wifi problems on a dell e1705 i'm dreaming i know it,try a live cd
polite chuckle,generic offtopic response with smiley made with characters
how do i setup shares on a linux machine,read samba or nfs docs
wait you get artifacts with it on,err off i mian
then later you can try kde too,it is a matter of personal opinion and if you don't know the only thing to do is try
i do mount devhdc2 mnt,try hdc5 instead of hdc2
hi everyone,that joke isn't funny anymore
i have installed ubuntu with unetbootin,that downloads the packages over the internet though not from your local network
but i do love gnome 3,aka fedora
what is going on here,does the folder contain a million 1 byte files
i need some help,tell us more
does ubuntu have the make cmd,'sudo aptget install buildessential'
hello,what command in terminal to know the nameaddress of my usb device
i thought it was supported tt,not in here untill the final release
hey is anyone suffering from audio problems since the last update,i did i had to turn the volume up js
playonlinux has pretty good wine versioning,okay i'll look in to it thanks
can linux run without swap,not very well
yes i have a netgear router a comcast cable modem and clearly the internet is working fine,the other pc i borrowed to get the fix install done still recognizes all resources on the network
help,what do you need help with
what's realtime kernel,it is a kernel which imitate rtos
fryguy copy and paste,put ' characters around your file pathname
floodbot3,official bots don't worry
so i've been having a huge ongoing problem with alsa and an sb450 anyone want to help,so i've been having a huge ongoing problem with alsa and an sb450 anyone want to help
can anyone confirm that i need to do a complete recompile of the kernel to change options in config,yes
you don't that's why it requires sudo,what command do you want to run
anyone know a quick way to find biggest files on a system,aha
lol yea but you gotta love how powerful dd is,lol
is there a way to copy files from my local pc to and ssh connection through terminal,scp
does anybody know if wusb600n will work in breezy badger,breezy badger is no longer supported sorry
hey why did ubuntu start a 4 for it's version numbers,410 200410 yearmonth
will that prevent things from insmoding them manually,yes
how do i get desktop icons to default to right side,i can't find anything on google
how to change my default player to alc player,in nautilus you can right click on properties then select use this for similar file types iirc
thank you mhall119,print or online theres an ubuntu linux for dummies
hk r00t 'cat devurandom devdsp',hk r00t bad bad man p
so linux doesn't use exe,nope
ya learning that stuff was a pain but atleast slackware taught me a little,i tried to build a linux from scratch system that wasa nightmare d
kind of like 'pstree',find
do you want to disable the checking or make it longer,to make it longer currently i think it's about on every other day
how do get rid of the pesky sudo and have good old su instead,shush
be sure they're innocent before you do,what
can anybody tell me where i can find the proper nvidia driver fx 5200 for ubuntu 904 please,restricted driver manager
where can i download the ubuntu live cd from,ubuntucom
info adobeflash,info adobeflashplugin
boot into recovery mode and run adduser yourusername admin,really that's weird
what's the command to see all the hdd and partitions from the console,ls devsd
if i want to use make i need to use binutils or something like that hey,if you want to use make do this sudo aptget intsall buildessential
you mean wubi,no ubuntu dual boot
it is devhdc,make sure its unmounted first
810 is 'intrepid ibex',i'm thinking of upgrading will i be able to use awn packages made for hardy
how to edit popup pls anyone,edit popup explain a little further
you mean like userlaptop,if you run hostname a you'll see the full name which would usually be laptoplocal in your example
dont quite get you,aptcache show libstdc533dev
how can i set up software on an installed server system,you mean download packages with aptitude
well my ubuntu is certainly slower than windowsxp,yes and no some things are much faster and some things you'd think to be slower
what player is best,the one that works for you i like mplayer
is anybody here,nobody
freenx,you mean shawnboy freenx is remote desktop app that actually works
uh did what exactly oo,i think uspenokmay be having you go for reinstall 7 p
710 died,nuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
netfs running,service netfs status
its just that it's in a channel i made and its not registered,please discuss that in freenode
hey can i revert back to the old gdm viasynaptic,hey can i revert back to the old gdm vias ynaptic
why am i getting the busybox black screeen of death,you can not have a black screen of death microsoft copywrighted 'of death'
you can look yourself here httpslaunchpadnetubuntuppas,thanks
synaptic majeszko,tab presuntorj
where is the colony2 isos i cant seem to find them on the homepage,httpcdimageubuntucomreleasesbreezycolony2
this is a english channel,yes
whats the difference between a grub and a lilo,grub is more recent i think
all flavors,just keep updating and you will be final keep in mind the servers are sloooow now
what did it say o,something about pa
am forget phpmyadmin login and i reinstall that so am still can't used new password how i do,am forget phpmyadmin login and i reinstall that so am still can't used new password how i do
wouldn't really be much of protection if it could be easily bypassed sorry,plluigi69
bash search for grub rescue disk on google,was just about to say i've tried boot repair
after instaling fglrx driver on my laptop colours are inverted,you sure the driver supports your card
tsk if ubuntu cant do dual boot correctly how is it gonna be adopted,httpwwwubuntulinuxorgwikiwindowsdualboothowtoviewsearchtermdual20boot
there is no such thing as static dhcp,static mapping whatever different devices call it different things
how do i load up the 'device driver' in ubuntu,that's a bit generic what device
how do i go about reverting some recent changes that 'update manager'applied to 1010,do you know what package youa re hacving issues with
hi,what is the default user on the latest ubuntu just after install please
try gmplayer,same thing
how do you tell if your running 64 or 32 bit linux,i just realized i don't know if i dled the right version
probably when its released but i guess its up to dell,ok thanks
if i write a script how can i make it update itself every 25 seconds,a lot of answers there drwillis how do i use that command
there's a session switcher at the bottom left i think kde should be in there,on the login screen that is
just ask,what soundcard
yes i have dimeotanedoesn't have enough strategy for me,dimeotane railroad tycoon 2 is pretty damn good too p
httpimgurcomckt45 my cool desktop,ot xangua
on one thanks,did you download any special package
how does one kill gnome from the command line in 1110,it used to be etcinitdgdm but its not there anymore
i'm pretty sure thats a windows application and not a linux application,its trac32 its for linux basically has windows and linux i have downloaded linux edition
does hoary use udev or devfs,udev
help when i try to put in the command to load the video drivers it says permission denied,i did then it ask for a pw and it doesnt let me type anything
do you suggest to downgrade to 1004,ok ok
i removed etcbind and now i don't know how to get it again,sudo aptget install reinstall bind
they all only show how to do a fresh install xp first and then linux,the file is bootgrubmenulist
is there anyway to compile a microsfot driver into linux,ok thx
can some one help me,depends whether you tell us the problem or not
hi,maybe can i use the 4 gb ram in 32 bit
why through the site there is aptdepends aptrdepends for cli,not in front of the computer
anyone know if there is more nvidia support in dapper,nvidia support is in nvidia
xubuntu is gtk 1x and gtk 2x compatible,is xubuntu gtk 1x and gtk 2x compatible
where can i download wubi for 1010,where can i download wubi for 1010
hehe,people bandy around 'ancient african' like it's some sort of mysteriuos undecipherable language that all africans speak
for some reason him saying 't3h' made me disregard his entire statment,i can say that ubuntu has helped my switch to linux immensly
ever compare an apple to and orange with no skin on,ever compare an apple to and orange with no skin on
im totaly friggen stumped,hero
who can help me in configuring a git repository,anybody knows git
sudo etcinitdgdm restart,tried that
theadmin blueskaj machtin please leave and go to ubuntuofftopic thank you,its a tool you can use in firefox opera and google chrome
as you say nix vet,keep ya from shootin off your foot by mistake
does anyone know how to use resolutions above 1280x1024 with ati cards,sudo dpkgreconfigure xserverxorg
how can i tell what source my package was updated from,aptcache policy packagename will tell which repo it came from
i need to change ip address every few minutes,check out tor
try voicegooglecom,okay i will ty d
any pic programmers here pic the microcontroller i mean,or can anybody tell me where i can find pic programmers
i'm using umbuntu for the first time and wanna access a sertain irc channelwhat shall i type to do so,if you want one on this freenode just use join channelname
anybody knows how to solve subversion http schema problema on karmic,i tried to recompile but it seems difficult
httpshelpubuntucomcommunitygrub2,thanks my google fu is failing today
let me get the link,beat you to it p
nadie que hable espanol,que
essentially outdated,thanks
every ide is able to do so,just use sshfs and mount your remote share wherever you want
are you deleting them from the trash too lol,cables i'm using shiftdelete trash can is empty
so the kernel i now have is called 261711fddgeneric,thanks for the infoleme see what the link says
terminated,is there any way to reinstall everything in ubuntu
this is because of wubi,does it swap
ok 'sudo gccselect' doesn't work any ideas,i did the buildessential install already should i try it again
what do i do with the limewirelinuxbin file,try chmod x limewirelinuxbin limewirelinuxbin
try usergroup kde,can you be a little more specific please
hello guys good morning,i really need help here
any hints where i can find any dapper sparc t1 server images,they're being held back
that might be something to ask in programming or depending on the language python or ruby,i'm only after a tool which does that not to make one myself
pt stilldre,thanks
i have tryed but it don't work,i don't have to patch a kernel because i've an core2 duo
is anybody here tried the verson 1010 yet,apparently discussion of 1010 is happening in ubuntu1
matix9 ubuntu server is for servers no x,install ubuntudesktop
if the data is the same it will have the same md5sum,oh okay i was just wondering how zsync managed remastering the isos
can i install 32bit ubuntu over the 64bit version and not have to redo the swap parition,and it will work fine
ok stupid question for someone what is the root password that setup sets,not stupid at allthere is no root passwd
any suggestions,check the levels in alsamixer from terminal
hi,i have winxp ubuntu on my harddisk i want to reinstall my winxp will my ubuntu lost
how oo,do you know the game binary name
how move folders in ubuntu mv is use to files,a 'folder' is a file
ctrld is not working on my gnometerminal what can be the problem,does it do anything or just do nothing
wonder if nay one can help wit ha driver issue,alloha
hey how do i setup a new user and have everything in chinese,anyone here that is not lurking
hi,how can i install internet explorer on ubuntu
let him try vlc first,no
i appear to have failed the common ports test,use firestarter and configure it to block icmp stuff too that'll do the trick
don't install rpm,what program
df h,thanks
in a terminal how can you list a complete command history for that terminal,'history'
java hippyewan,goon
go to power management,oh yeah forgot about that
he talked in english,i know
shall i use server one,yes postfix dovecot tend to make a decent email stack
chown,chown would be 'chown usergroup file
kdm,k thanks
reports of composite working quickly are anomalies,looks great for screen caps though
can someone remind me where xorgconf lives,etcx11
are there any good download managers for ubuntu,filezilla
no gui for this,will reboot on console this can be disabled of course
yes i installed from reposdoes this mean i'm still on catalyst 86,i think so
want to find a way to fix this without reboot,it probably locked the screen i've had that happen
yes,it's at the core of the gnu userspace utils
how to uninstall mysql,aptget remove mysql
is there a way to install bootmgr again,hang on a sec
system preferences sessions untick 'splash screen on login',is there a way to change what it looks like though
all core 2 duos should be 64bit compatible,some people say the have problems with 64bit but i never had problems using 64bit have used it for years
where can i get a binary version of avant,you can't
ot xangua,lmao
what are you trying to do,i'm trying too figure out how too enable s3tc support for an intel graphics card
gtk is much better looking motif is old and crusty,thank you
guys for pentium d em64 do i grab the amd64 dapper release or no,general agreement seems to be 'no' not worth the marginal speed boost for almost all applications
hi how to install xfce on ubuntu 606,sudo aptitute install xfcedesktop
ne1 know how to change my sound source my webcam is listed as my output sound device,httptinyurlcom4ogk2 look for hiow to change the default card
khar,khar khodetip
goto ubuntuxgl,ty didnt know there was a channel for it
i have 2 boxes with kubutu installed,what kind of performance do you get from that sli setup 2 times the speed of one 15 times
apparently speaks confusing well done mate,tx
hello everyone,hello
whats new here,so many pplhere
stop telling me that everyone uses the 'ubotu tell someone about whatever' method so shut up,no need to take offense just a suggestion to cut down on noise
1933,in hardyproposed
sudo nano file or gksudo gedit file,thanks
chazco so i did miss the conversation as to why recent versions of ubuntudebian was a problem,httplwnnetarticles92727
anyone had some luck installing yahoo messenger on dapper,seems like it's complaining that openssl is too new
i suspect it might,it's on 'ondemand'
try ctrlaltdirections,that doesn't work it does now but not when the game is running
lmfao,try ubuntupalace
which package provide mencoder,mencoder
etchdparmconf,awesome thanks
how can i test to see if my system can beep,you can use any commandline audio player for that
is anchovies the best pizza topping,no
alright so what precisely is the difference between 'deb httpusarchiveubuntucomubuntu' and 'debsrc httpusarchiveubuntucomubuntu' in this sourceslist file,one is for source code packages
they are usually stored in homewine,so the packagemanager hasn't anything to do with it
no,cool
guysdo u know where i can download pretty good action 3d2 games for linux,most good games are sadly not free
depends on lots of factors,what chipset is it
you using port 443 to tunnel through and running your ssh deamon on 443,i have not found etcdenyhosts
unknown command 'find',why dont you reinstall it maybe there was an error during the installation it happen to me
how do i install opera,wwwoperacomdownload get the ubuntu deb
how to access itunes u using ubuntu,there is no client for linux
i've installed ubuntu a million times and never had an issue you installing,only for purists
xrandr maybe,but compiz wouldn't work with xrandr right
can anyone see this message i m having trouble in sending messages,i just installed ubuntu natty and seems like unity is not working how do i enble it
for karmic,aye
your keyring password is stored somewhere in your home directory,how can i access them
i always read that fscking a readonly drive was fine,'mount bind src dst' that is
with html5,oh so html5 is the culprit huh
so i was thinking 1110 dropped it,lightdm is the default dm in 1110
how do i share files with my ubuntu laptop with my windows laptop both connected to the same router,u need samba installed 1stthen lets ask some help here how to configure it
i try to login to mysql using 'mysql u root' but it returns an 'access denied' message,your admin tables maybe and root has no default authenticationover the 127001
thanks leftyfb,i've had good success with pxe method
what's the command to see all the material in my computer,like graphic cards sound card processor
i'll try it thanks,sudo aptget install kubuntudesktop sudo aptget install kde
i dont like sudo commands is there a way to get oldschool root account,su
yeah they are all over it,has made a dep of netapplet i believebut i had the same 'no icon' thing when i tried it
that i have to mount if isnt been auto mounted,devcdrom
system preferences startup,''system preferences startup' i saw that but i thought it was too good to be true will try later
shittttttttt,watch your language 'this doesn't work' usually isn't a good method of getting help
lspci,01080 ethernet controller intel corporation 82801babamcacam ethernet controller rev 01
driver 'ati',that means it is accelerated
hello i want to install ubuntu on desktop but i don't want neither gnome kde and xfce,use the alternate cd and select 'install a command line system'
if my router does not want to enable ddns with dyndns might i be screwed,what is best router for linux
if i have a zipped package on my desktop what command do i use to install it once extracted,what's the content source code deb file that depends
is it true ubuntu server doesn' t comes with dhclient client installed by default,how do i install dhclient please
i thought single link dvi could handle up to 1900x1200,one single monitor
thanks,510 is coming out soon
can you sudo the command 'passwd' and change the password,i suppose i could go to tty1 and change the password but what's the point with a livecd
i never use gwibber but three instances of gwibberservuce always runs how do i stop it from being run,i never use gwibber but three instances of gwibberservuce always runs how do i stop it from being run
xenguy the printer is on the network though a win xp computer,does anyone know how i can print to a networked printer
is it the url helps,is the url i give to u working with ya cam
will jaunty have the latest kernel,yes
edit grubdefault in etcdefaultgrub,edit grubdefault in etcdefaultgrub then run updategrub to propagate the change
i've got no 'shut down' option in my rightmost menu,how is it possible to shut down the computer
you know that there is a logo called 'evil inside' below the 'intel inside' logo on macs,lol
the first one,thanks
ah found something,it right under mplayer stuff
for gutsy ubuntu1,thanks
is there a tool to securely remove users for debianubuntu,like trash all personal data homefolder and write over with zeros
will read thanks,what i've read in the mount article hasn't helped my problem
what is automatix is it good to have it installed or is it better the command way,thanx guyus
which is installed first,should be no problems have you installed ubuntu yet
that will be a long term releasae,i think its planned to be a lts
you must install nfscommon on gutsy,thanks mate will do
please go ahead,oky next week cause i have exams in this week 'promise'
whats the cli command for finding a word thats in a file,grep
do you have thermodynamics netbook with truck power,yeah it's running on diesel
are you upgrading using the cd,is your network being unavailable stopping you from performing the upgrade
mornin or whatever your time of the day is,a stupid question where can i find the ubuntu 510 installation manual
ubuntu have network tv,im use gsopcast no cant
weird still cant print,how strange
can itunes be used with ubuntu with a youtube converter,does linux have anything not needing wine to run itunes
are there plans to include xgl support in ubuntu,was it easy
you can start in text mode,no i need the x started in safe mode couz in normal mode has serious problems
totemgstreamer,thank you
where would you advise i look to learn how to fix it,whats the difference between a grub and a lilo
define disappear,no longer installed on your machine no longer in the repositories
yodas if you use firefox downloadhelper addon can download videos from several different sites like youtube,hi yes i got that but it cant download videos from facebook
chroot into a 32 bit environment from a 64 bit,hmmm well unfortunatelly i'm no a 64bits user
ok thanks,on feisty
well i understood that heshe is trying to disable password logins,ahh i thought he was just trying to test his newly installed sshserver
check the power options and see what lid switch behavipr is set to,see above
dawg foreal,who the hell talks like that anymore
i compiled xinelib wrong and want to remove it and replace it with the old one,how do i do that
anyone have a favorite disk mounting program that they'd like to recommend,on gnome i always used cdemu
rm fr dir works man rm for more info,np
can i install ubuntu on an intel based macmini,i dont see why not
woo thanks,restore grub as the link above
hello i have attached my cellphone to my usbport how do i check which dev it is,is there anything in dmesg
no they're over 15 gb,not sure how they'd fit on a cd
lol,'rm' 'remove' basically it'll attempt to remove everything with force
i believe its 100 lines,thanks for the help
rpm ',i just tried kubuntu live cd and i had a hard time activating my eth1 not as easy as ubuntu
lufis sounds like you gfx card may be blacklisted,blacklisted from even using the system
blargh my amd k62 system is currently under clocked to 200mhz with a 66mhz fsb,i wonder if it'll run win7
you installed the 32bit iso dude,negative
what's the name of the gnome file manager,nautilus
where do you find out about supporting specific hardware in breezy badger like for a compaq modem,httpswikiubuntucomhardwaresupport
no,yes
dont live in america d,lucky you p
what language are the scripts run by init written in,during startup
dang httpamplicatecomhateunity,thats not on topic here
mman ps,ok thanks
no,you can use 'sudo' to run things as root
marcel macbook,which
anyone know c,try in c
hi how can i deny the access to my apache for other users,ask in httpd
do you mean 'without using windows',leafpad
why,and vmware can not access a usb device if the host os handle it
empathy does have better conversation dialog appearance though,just install pidgin go to system settings then details then prefered apps and change it to pidgin
lsmod,i dont see xgl anywhere how do i get it to load with x server
mplayer,usually a part file is left behind by firefox when a download didn't finish
how do i know my ubuntu ip,that's a loaded question
icecast,thanks
what bout running as just root,the key should be rw for the user and read for all others
